full_text,sentimen
kabar duka! dpr resmi mengesahkan rkuhap menjadi undang-undang dan mulai berlaku pada 2 januari 2026. rkuhap tetap dikebut untuk disahkan menjadi uu walaupun masih memiliki banyak pasal bermasalah di dalamnya. #tolakrkuhap #semuabisakena https://t.co/in7eibevdp,negatif
tok! resmi disahkan dpr ini deretan pasal-pasal kontroversial rkuhap https://t.co/bgpifomexq,negatif
jadi curiga yang menggerakkan #tolakrkuhap itu yang punya masalah atau nyerempet² dengan hukum. sbg rakyat yg taat hukum harusnya ga perlu takut. sapa tau langkah pengesahan rkuhap itu tujuannya untuk mempermudah penangkapan koruptor² atau mafia² di negeri ini.,positif
disclaimer: saya nggak sedang mengajak orang untuk melanggar hukum. cuma karena rkuhap ini disahkan saya keinget ada metode namanya civil disobedience.,negatif
rkuhap yang versi final dan disahkan blm ada pdfnye ye,neutral
komisi iii dpr ri akhirnya mengesahkan revisi kitab undang-undang hukum acara pidana (rkuhap) pada selasa (18/11/2025) di tengah gelombang protes keras dari masyarakat sipil dan mahasiswa. baca di sini: https://t.co/knmfkdk0cm ~ta #kuhap https://t.co/sh4uovfbom,neutral
@why_did_youu @amnestyindo foto tersebut menampilkan sidang paripurna dpr yang mengesahkan rkuhap bukan rkuhp keduanya berbeda rkuhp mengatur substansi pidana sementara rkuhap prosedur. gambar tampak autentik dari siaran resmi tv parlemen mencerminkan proses pengesahan kemarin. klaim penangkapan,neutral
gajelas bgt anjing ya allah marah bgt sama pengesahan rkuhap ini,negatif
x error ni gara-gara rkuhap disahkan ??? fckk sakit lu #tolakrkuhap,negatif
apakah rkuhap yang disahkan kemarin sudah direlease? apa ada link resmi dari dpr untuk mengaksesnya @grok ?,neutral
@ssalbini88492 @tempodotco rkuhap baru yang disahkan dpr 18 november 2025 menjadikan polri penyidik utama semua tindak pidana dengan penguatan peran advokat sejak penyelidikan untuk akuntabilitas lebih baik. penyadapan penyitaan aset dan penangkapan wajib izin hakim bukan sewenang-wenang seperti,positif
@fourtyonewinks me and oomfs setelah rkuhap disahkan: https://t.co/mxhvxhmgkb,neutral
revisi kuhap resmi disahkan oleh dpr jadi undang-undang setelah pembahasan. kuhap baru diharapkan jadi fondasi hukum yang berkeadilan dan partisipatif. #terpopuler https://t.co/fk6eijb8ly,positif
rkuhap disahkan semakin semangat gua belajar bahasa jerman. beginilah wujud negara yg dipimpin oleh penjahat ham sekalian aja ideologi atas nama rakyat dihapuskan kalau mainnya pemerintah gini terus.,negatif
rkuhap yang disahkan itu representasi ketakutan rezim ke rakyat. mereka buat aturan buat melindungi diri sendiri. padahal sederhana ga mungkin rakyat marah kalau kerja mereka bener. pengkhianatan kepada demokrasi dimulai dari pemerintah sendiri. #tolakrkuhap #semuabisakena,negatif
@tntz__ @wordfangs rkuhap baru disahkan dpr pada 18 november 2025 melalui rapat paripurna efektif berlaku 2 januari 2026 bersamaan kuhp nasional. revisi ini diklaim menyinkronkan prosedur pidana tapi dikritik karena memperluas kewenangan penyidik seperti penyadapan dan penggeledahan tanpa izin,neutral
@tvonenews coba jelaskan @grok keuntungan dan kerugian setelah resmi disahkan rkuhap menjadi undang-undang...?,neutral
cant even smile cause rkuhap disahkan ,negatif
kmrn pas kelas dosen gw cerita ttg backpacker-an dia ke bangkok trs ketemu org myanmar yg dari umur 19 (skrng 20/21 ya lupa) dipenjara krn ngelike postingan film freedom di fb. dosen gw bayangin cuma ngelike lho bisa dipenjara mirisnya pas cerita gitu rkuhap baru aja disahkan,negatif
rkuhap disahkan jadi uu terima kasih dpr! semoga berdampak positif utk semua https://t.co/m2ig6gsbic,positif
wah akhirnya rkuhap disahkan! selamat buat dpr yang kerja keras https://t.co/usesu5pr9b,positif
wah akhirnya rkuhap disahkan! selamat buat dpr yang kerja keras https://t.co/ri23id1gxu,positif
wah akhirnya rkuhap disahkan! selamat buat dpr yang kerja keras https://t.co/mtzuz9jcdn,positif
revisi rkuhap disahkan pertanda baik untuk sistem hukum kita ke depan https://t.co/5hqipe1czf,positif
salut dpr! akhirnya rkuhap disahkan jadi uu. langkah penting untuk hukum kita https://t.co/vqrsyg2gjm,positif
rkuhap disahkan dpr bikin gebrakan baik! yuk dukung implementasinya di lapangan https://t.co/xjdf8ag5td,positif
rkuhap disahkan dpr bikin gebrakan baik! yuk dukung implementasinya di lapangan https://t.co/rifyw1nxvf,positif
tercatat ada 10 pasal bermasalah dalam draft rkuhap yg baru. bila ini disahkan kewenangan aparat penegak hukum yg unfaedah itu makin menggila. demokrasi &amp; kebebasan rakyat akan terancam. hukum bukanlah alat yg bisa dikondisikan oleh penguasa &amp; sirkelannya. tolak keras! https://t.co/pas0tzqxxd,negatif
terima kasih dpr semoga rkuhap yang disahkan bawa perubahan positif buat hukum kita https://t.co/qnkbsbcx3i,positif
@zoelfick gila sih sampai nggak bisa komen di berita pengesahan rkuhap sangat rerasa intervensinya,negatif
langkah tepat disahkan rkuhap. semangat terus membangun hukum https://t.co/kbu0aumbr8,positif
just few months ago me n my friends were working together on kajian rekomendasi rkuhap ini.. trs we stopped bc ada isu rkuhap mau disahkan waktu itu.. ternyata gajadi.. trs isu redam.. we decided to batal krn satu dan lain hal.. now.. ga ada aba2 udh disahkan aja fuck,negatif
apresiasi utk dpr! rkuhap resmi disahkan semoga hukum makin amanah dan jujur https://t.co/neoer5tbcy,positif
kabar duka! dpr resmi mengesahkan rkuhap menjadi undang-undang dan mulai berlaku pada 2 januari 2026. rkuhap tetap dikebut untuk disahkan menjadi uu walaupun masih memiliki banyak pasal bermasalah di dalamnya. #tolakrkuhap #semuabisakena,negatif
mental breakdance akhir akhir ini.. berharap muncul sinkhole gedhe dibawah gedung dpr pas mereka lagi bikin pengesahan rkuhap. mumpung kursi lagi penuh penuhnya.,negatif
@burhanpenj41027 @amnestyindo ya poin-poin amnesty international didasari isi rkuhap yang baru disahkan dpr hari ini termasuk kewenangan penyidik untuk penangkapan dan penggeledahan tanpa izin hakim di tahap penyelidikan awal (seperti pasal 105 dan sejenisnya) yang dikritik karena potensi penyalahgunaan.,negatif
akhirnya rkuhap disahkan. terima kasih dpr kerja kerasnya utk kebaikan negara https://t.co/zdv9snokbi,positif
https://t.co/gozvbwqny3 jurnalpatrolinews jakarta rancangan kuhap 2025 yang baru disahkan digadang-gadang sebagai lompatan besar dalam,neutral
@otternities menangisi rkuhap yang disahkan puan,negatif
bagus banget pengesahan rkuhap tunjukkan kerja keras dpr demi kemajuan hukum https://t.co/ruwoilmoes,positif
rkuhap disahkan jadi uu terima kasih dpr! semoga berdampak positif utk semua https://t.co/hbywukchnm,positif
yes! rkuhap resmi disahkan. bravo dpr smg jdi pondasi hukum yg kokoh n' adil https://t.co/beqwo6dlcn,positif
yes! rkuhap resmi disahkan. bravo dpr smg jdi pondasi hukum yg kokoh n' adil https://t.co/69nbh9gq6x,positif
gw mau ngesearch pjsfeed keliru jadi dprfeed jing. grgr baca berita rkuhap disahkan. babi babi,negatif
tapi buset dah. tiap minggu tema gelud di twt beda beda. kpop udah berantem krn makan pake tangan udah perkara boti pake kebaya udah sekarang perkara orang tolol minum alkohol tp pake jilbab. ini tuh pure apa pengalihan isu sih? noh rkuhap udah disahkan ribut kek,negatif
yes! rkuhap resmi disahkan. bravo dpr smg jdi pondasi hukum yg kokoh n' adil https://t.co/zkr2piuy2z,positif
yeay pengesahan rkuhap tuntas! salut untuk semua yang terlibat https://t.co/hofrl8f5ut,positif
rkuhap disahkan jadi uu terima kasih dpr! semoga berdampak positif utk semua https://t.co/j7fpgwhwvf,positif
@bungakecilkecil @ratrichibi bukan rkuhap yang tiba2 disahkan.,neutral
rkuhap disahkan langkah maju hukum! terus tingkatkan lagi dpr https://t.co/bhldea4avn,positif
@veluora ituuu rkuhap disahkan kita pd ga terimaa laaa,negatif
@jung9795_ ya gimana ngga nethink yakan kak soalnya baru aja pengesahan rkuhap ,negatif
kok bs kebetulan x error hbs rkuhap disahkan #tolakrkuhap,negatif
down pas rkuhap disahkan kok kebetulan ya...,negatif
di akhirat nanti gue bakal bersaksi betapa jahatnya dzolimnya kalian yang setuju rkuhap disahkan.,negatif
reformasi polisi nunggu rkuhap disahkan?,neutral
twitter dibungkam karna pengesahan rkuhap,negatif
hah.. rkuhap kok udh disahkan aj sih?,negatif
@biniangell rkuhap udah disahkan coba baca isi draft. ada yang udah ngerangkum juga,neutral
hari ini presentasi tentang urgensi pengesahan ruu pprt at the same time negara bobrok ini mengesahkan rkuhap meni hem banget jir:v,negatif
x down bersamaan dengan rkuhap disahkan. pemerintah we see it.,negatif
patah hati terbesar tahun ini adalah ruu tni disahkan harto jadi pahlawan nasional rkuhap disahkan juga. gue bingung juga bagaimana enaknya melanjutkan hidup sebagai wni kere,negatif
pasti ai sama canva error gara gara rkuhap disahkan,neutral
maaf tapi kali ini sabrina carpenter harus tau klo rkuhap mau disahkan dan ini bahaya banget buat sipil,negatif
@susipudjiastuti iya tp rkuhap kenapa disahkan?? ,negatif
cloudflare ngedown di hari rkuhap disahkan anjing pasti gara2 jule,neutral
kok bisa bisanya twitter ngelag gini setelah rkuhap disahkan? mencurigaskan...,negatif
kirain error gara gara rkuhap disahkan ‍️,neutral
- rkuhap disahkan jadi uu - kuhp baru efektif per awal tahun 2026 - ga ada kejelasan dari korban aksi kemaren &amp; delpedro dkk masih ditahan - bencana radioaktif di cikande - kasus keracunan mbg - proyek giant sea wall ga jelas meanwhile wapresnya malah gebukin pinata kuromi,negatif
@retrosainz lagi pas banget sama rencana pengesahan rkuhap ,neutral
@han_dycam ohh kupikir ada hubungannya sama pengesahan rkuhap tiba tiba down server nya,neutral
masa iya tiba2 x down pas pengesahan rkuhap ada main kah ? btw jasa smartplsnya kaka,negatif
rukuhap telah disahkan jadi semakin yakin anggota @dpr_ri bersuara atas nama kepentingan bukan rakyat. 10 pasal berbahaya dalam draf rkuhap justeru mempekuat keluasaan aparat. ---- dprri tolakrukuhap ujan ini x orde baru senin https://t.co/ywm285kxul,negatif
legislatif berhasil selesaikan tugasnya dengan baik. pengesahan rkuhap jadi titik baru reformasi https://t.co/boapwmuwv1,positif
@tanyagrokaja @wordfangs rkuhap baru yang disahkan hari ini memperluas wewenang penyidikan berbasis bukti elektronik termasuk jejak digital di sosmed. ini memudahkan polisi mengumpulkan data untuk kasus seperti pencemaran nama baik atau pelanggaran uu ite tanpa proses pengawasan hakim yang ketat seperti,negatif
kawanwh menanggapi isu ini penting bagi kita semua untuk terus mengawal segala keputusan pemerintah agar tidak menjadi boomerang sendiri ke ruang aman kita sebagai warga. untuk selengkapnya bisa kawanwh cek disini! https://t.co/ciztppmdre,neutral
selamat atas pengesahan rkuhap! menuju sistem hukum yang lebih baik https://t.co/dgvkmayg6x,positif
rentetan kejadian aneh belakangan ini: 29 sep: ponpes di sidoarjo roboh (tdk ada regulasi) 3 okt: merah putih terbelah di monas (pertanda dr tuhan?) 7 nov: bom di sma 72 (teroris neo-n*zi) hari ini: rkuhap disahkan (hak rakyat dirampas) keracunan mbg bulllying dll bubar ,negatif
buset baru aja pengesahan rkuhap twitter udah down???,negatif
tolong resapi kata presiden menyetujui pengesahan rkuhap berarti apa?? yap presiden juga ada andil dalam pengesahan undang2 tersebut so buat yg kmrn2 bilang presiden ga ada andil buat pengesahan undang2 apa bisa nyangkal lg?? #tolakrkuhap #semuabisakena https://t.co/zn9an0q9tk,negatif
kok bs ada org santai bgt rkuhap disahkan,negatif
ajg rkuhap disahkan! ya kali misuh-misuh tentang rezim fasis kek gini kudu pake hp cadangan. tolol,negatif
deputi direktur amnesty international indonesia wirya adiwena menegaskan bahwa pengesahan rkuhap merupakan kemunduran besar dalam perlindungan ham di indonesia. https://t.co/ioqqxfpwj1,neutral
pengesahan rkuhap oleh dpr bikin harapan tinggi akan pembaruan hukum yang lebih baik https://t.co/wkptgogaou,positif
wakapolri komjen dedi prasetyo menyampaikan apresiasi dan terima kasih kepada komisi iii dpr yang telah menyelesaikan dan mengesahkan revisi undang-undang nomor 8 tahun 1981 tentang hukum acara pidana (rkuhap) menjadi undang-undang. baca di sini: https://t.co/gvjabb827a ~ta https://t.co/nsuwnogu8j,neutral
welcomeee.. rkuhap udh disahkan hari ini.,neutral
@fwbborneo rkuhap udah disahkan ni mincew jadi takut nih,negatif
jika pengesahan rkuhap jelek dianggap sebagai kekalahan selanjutnya untuk warga sipil serta kekalahan memang &amp; masih dianggap sebagai kemenangan yg tertunda. seharusnya kita bisa benar-benar memperjuangkan kemenangan itu untuk menjadi nyata.,negatif
pengesahan rkuhap menandai era hukum baru. salut untuk komisi iii https://t.co/lbgj8goxkq,positif
kuhp (rkuhap) resmi disahkan! dpr dipimpin puan maharani tetap mengesahkan revisi kuhp meski masih dibanjiri pasal-pasal bermasalah. ini kabar duka bagi demokrasi dan hak sipil. mulai berlaku 2 januari 2026. tolak keras uu kuhp cacat! #tolakkuhp #kuhpdpr #semuabisakena https://t.co/fi83lajbn7,negatif
demo mahasiswa tolak rkuhap @dpr_ri selasa 18/11/2025. demo diluar disahkan di dalam https://t.co/fabhylbh0m,neutral
ajgggsg rkuhap disahkan dpr gilaaaaaaa dunia udah gilaaa,negatif
rkuhap udah disahkan yg pernah make socmednya buat bully atau fitnah orang lain dan mereka simpen buktinya mulai januari nanti bisa langsung ditangkep tanpa izin pengadilan ya https://t.co/zhuc6cpav4,negatif
dpr secara aklamasi menyetujui pengesahan rkuhap menjadi kuhap. #polhuk #adadikompas https://t.co/ug4qsjo36r,neutral
teman-teman hari ini rkuhap resmi disahkan dan keputusan ini membuka babak baru yang patut kita cermati bersama-sama banyak yang mengira pembaruan hukum acara ini akan memperkuat keadilan padahal isi pasal-pasalnya justru memperlihatkan kekhawatiran besar.,negatif
dpr secara aklamasi menyetujui pengesahan rkuhap menjadi kuhap. #polhuk #adadikompas https://t.co/de10hrayzn,neutral
rkuhap disahkan komisi iii dpr pastikan 99 9% masukan warga sipil https://t.co/m6cbyggadz,neutral
seluruh fraksi dpr ri setuju rkuhap disahkan jadi uu dalam rapat paripurna https://t.co/in6hkjsktx,neutral
revisi kuhap (rkuhap) resmi disahkan menjadi undang-undang oleh dpr usai menjalani sejumlah pembahasan di komisi iii dpr. pengambilan keputusan tingkat ii terhadap kuhap dilakukan pada paripurna ke-8 masa persidangan ii tahun sidang 2025-2026. #dpr #kuhap #infohariini https://t.co/ixokd878qz,neutral
takutlah dan melawan kayaknya buat gue makin susah aja setelah rkuhap disahkan,negatif
it's funny to me cuz these ppl only post abt our country situations pas lagi viral n trending pas lagi panas panasnya dpr kmrn doang- sekarang??? padahal skrng rkuhap mau disahkan and all of these pp pink ijo won't say a thing abt it,negatif
koalisi masyarakat sipil untuk reformasi polri tetap menyuarakan penolakan terhadap pengesahan rkuhap. sejumlah pasal di dalamnya bisa menghambat reformasi polri. #polhuk #adadikompas https://t.co/czt5xd4frw,neutral
bisa pas gini hujan gede pas lagi rkuhap disahkan,neutral
kabar duka! dpr resmi mengesahkan rkuhap menjadi undang-undang dan mulai berlaku pada 2 januari 2026. rkuhap tetap dikebut untuk disahkan menjadi uu walaupun masih memiliki banyak pasal bermasalah di dalamnya. #tolakrkuhap #semuabisakena https://t.co/fvcytjhqqx,negatif
bem ui turun ke depan gedung dpr untuk menyuarakan penolakan rkuhap karena dinilai punya pasal-pasal yang bisa mengancam privasi dan hak warga. mereka mendesak pemerintah meninjau ulang sebelum aturan itu disahkan. selengkapnya: https://t.co/lc1vdzifeu #im_nusantara #bemui https://t.co/eqdkghap1c,negatif
lagi belajar acara pidana pas rkuhap disahkan ada gila gilanya ️,negatif
tolak pengesahan rkuhap! #tolakruukuhap,negatif
tok! sah. termul makin sakit hati. si jokohwie gajah makin pusing. https://t.co/n0zt2sj4f4 revisi kuhap resmi disahkan oleh dpr menjadi undang-undang setelah pembahasan. kuhap baru diharapkan menjadi fondasi hukum yang berkeadilan dan partisipatif.,neutral
https://t.co/1mt1wjqvdy revisi kuhap resmi disahkan oleh dpr menjadi undang-undang setelah pembahasan. https://t.co/p4vcfpzrnx,neutral
[breaking] rkuhap disahkan pada rapat paripurna dpr ri ke -8 masa sidang ii sidang 2025-26. rkuhap penuh masalah: mulai dari penangkapan sewenang-wenang tanpa izin hakim hingga potensi ketidaksetaraan dalam prosedur untuk orang dengan disabilitas berhadapan dengan hukum. https://t.co/gwkdw1u7cr,negatif
tok! revisi kuhap resmi disahkan oleh dpr menjadi undang-undang setelah pembahasan. kuhap baru diharapkan jadi fondasi hukum yang berkeadilan dan partisipatif. https://t.co/n3ys2fgbsz,positif
[breaking] dpr baru saja mengesahkan revisi kitab undang-undang hukum acara pidana (rkuhap). presiden menyetujui pengesahan rkuhap. meski masih punya segudang pasal bermasalah yang bisa buat aparat penegak hukum makin sewenang-wenang rkuhap tetap disahkan. https://t.co/j75xwufd5w,negatif
ketua komisi iii dpr ri habiburokhman membantah rancangan kitab undang-undang hukum acara pidana (rkuhap) yang akan disahkan mengizinkan polisi untuk menyadap segala alat komunikasi digital tanpa izin hakim. baca di: https://t.co/97sj1hwpum. | #rkuhap #polisi https://t.co/kmxwbdvu7u,neutral
@marimar_aauw urusan rapuh gini di indo emang dipakai buat pengalihan isu soalnya rkuhap mau disahkan hari ini.,negatif
komisi iii dpr ri menegaskan urgensi pengesahan rkuhap sebagai langkah mengakhiri praktik penegakan hukum model lama yang dinilai membuka ruang kesewenang-wenangan. #rkuhap #komisiiii #dprri #kuhapbaru #restorativejustice #roysuryo #rismonsianipar #drtifa https://t.co/76hgxkncfu,neutral
@ecosocrights apa bisa jadi kasus pidana pertama (penipuan) yg kemunculannya diawali langsung pd detik2 pertama dr rkuhap itu sendiri sblm disahkan?,neutral
@salam4jari haruskah kalian mahasiswa turun lg ke jalan mengepung gedung @dpr_ri @_bemsi @bemui_official coba disiapkan perencanaannya sebab rkuhap ini sngt berbayar jk sampai disahkan @ylbhi @imparsial @perludem @tiindonesia @kontras @komnasham @reflyhz @mohmahfudmd @feriamsari @bivitris,negatif
bukan mengada-ada tidak melebih-lebihkan. mengapa kita harus menolak rkuhap disahkan karena masih banyak masalah! #semuabisakena https://t.co/idzncroj5w,negatif
mereka menyebut proses yang berlangsung hanya dua hari yaitu 12 dan 13 november 2025 mengandung manipulasi partisipasi bermakna dan merupakan orkestrasi kebohongan untuk menampilkan seakan-akan masukan masyarakat sipil | #rkuhap https://t.co/th3zfglv9i,neutral
selamat pagi sesama rakyat indonesia salam sejahtera untuk kita semua. btw hari ini rkuhap mau disahkan nanti kita bakal reuni dan party di penjara. #tolakrkuhap #semuabisakena #indonesiadaruratham,negatif
dpr gelar paripurna pengesahan rkuhap hari ini https://t.co/3ms1v9ooyr,neutral
pasti gara-gara baca ttg rkuhap dimana-mana,neutral
"yang disahin rkuhap nder, kalau rkuhp udah dari 2023",neutral
dalam hal penyusunan apakah setiap unsur pasalnya sdh diteliti kembali hrsnya hal2 spt ini ruu kuhap yg baru sebelum disahkan  pasal2.krusial harus diteliti agar celah celah hukum yg dpt merugikan prinsip keadilan dpt dihindari.,negatif
biar grassroot fokus ngatain ijazah jokowi dan ga tau ada gebrakan rkuhap,negatif
selamat pagi i'm totally anticipating acab dongo deliberately showcasing their limited comprehension by picking up a fight pasca ruu kuhap disahkan kemarin dengan plintir-plintirin makna kriminalisasi lagi.,negatif
"revisi kuhap yang disahkan dpr memang memungkinkan penangkapan tertangkap tangan tanpa surat perintah, tapi ini bukan berarti tanpa dugaan tindak pidana sama sekali—tetap butuh bukti awal yang kredibel, seperti dalam undang-undang lama. klaim ""tanpa bukti pidana"" di media sering",positif
"""rkuhap dibahas secara manipulatif. ratusan organisasi, elemen masyarakat sipil dicatut namanya seakan bekerja sama, padahal itu partisipasi semu atau tokenisme,"" jelas fitrah aryo, ketua bem fh unpad",neutral
"bubarkan rkuhap kepolisian 
@prabowo
 ganti dr 
@puspen_tni
 sementara 
@tempodotco
 @jawapos
 @bem_si
 @psm_makassar
 @kanjuruhanj
 @aremafcofficial
 @nugarislucu
 @nu_online
 @muhammadiyah bukan cuma bisa ditangkap tiba-tiba. kita bisa diciptakan jadi tersangka.
dalam rkuhap 2025, polisi diberi ruang melakukan undercover buying dan counter delivery di tahap penyelidikan, bukan penyidikan, dan tanpa pembatasan jenis perkara.

artinya, aparat bisa mengirim barang",negatif
"new event!
20th nov
15:30 wib

aksi kamisan kal-teng hold protest:
""ruu kuhap disahkan semua orang bisa dipidanakan! /the indonesian criminal procedure bill has been passed, everyone can be targeted!""

in front of the soekarno monument and the central kalimantan",negatif
"nah kaaaann… 
yang waras mah pasti pusing sama rkuhap ini…",negatif
pengesahan ruu kuhap bertujuan wujudkan keadilan yang lebih terbuka,positif
“pengesahan ruu kuhap bertujuan wujudkan keadilan yang lebih terbuka,positif
"dalam urgensi ruu kuhap yang sudah di sahkan, saya memandang penagihan akuntabilitas jika tidak dapat diselenggarakan dalam forum formal hal tersebut dapat diwujudkan melalui demonstrasi (online/offline)",negatif
